t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
8.2469,0.9984,0.0016,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.1260,0.0534
8.2892,0.9998,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1271,0.0304
8.3315,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0481,-0.0381
8.3738,0.9999,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0199,-0.0360
8.4161,0.9994,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1204,0.1132
8.4584,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0792,0.0111
8.5007,0.9957,0.0040,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,-0.0708,0.0223
8.5430,0.9976,0.0023,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0434,0.0614
8.5853,0.9933,0.0065,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0389,0.0823
8.6276,0.9947,0.0032,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0058,-0.0357
8.6699,0.9998,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,-0.0520,-0.0813
8.7122,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0906,0.0154
8.7544,0.9996,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0714,0.0340
8.7967,0.9991,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0955,0.0254
8.8390,0.9698,0.0036,0.0116,0.0008,0.0016,0.0120,0.0006,0.0000,0.0980,-0.0375
8.8813,0.9981,0.0007,0.0002,0.0000,0.0000,0.0010,0.0000,0.0000,-0.0204,-0.0311
8.9236,0.9886,0.0075,0.0007,0.0000,0.0000,0.0031,0.0001,0.0000,-0.0184,-0.0085
8.9659,0.9997,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0217,0.0021
9.0082,0.9792,0.0187,0.0000,0.0001,0.0000,0.0017,0.0003,0.0000,0.0900,0.0897
9.0505,0.9933,0.0064,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0996,0.1499
9.0928,0.9368,0.0629,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0155,0.1587
9.1351,0.9446,0.0553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0754,0.2061
9.1774,0.9265,0.0734,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0250,0.1472
9.2197,0.9991,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0022,0.0884
9.2620,0.9655,0.0342,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0141,0.1427
9.3042,0.9982,0.0007,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0530,-0.0063
9.3465,0.5939,0.4049,0.0001,0.0000,0.0000,0.0012,0.0000,0.0000,-0.0198,0.1637
9.3888,0.8648,0.1350,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0151,0.1767
9.4311,0.8284,0.1708,0.0001,0.0000,0.0000,0.0006,0.0000,0.0000,0.0027,0.1459
9.4734,0.9587,0.0410,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0039,0.1214
9.5157,0.9882,0.0114,0.0000,0.0000,0.0000,0.0003,0.0001,0.0000,0.0334,0.0777
9.5580,0.9978,0.0006,0.0002,0.0001,0.0002,0.0009,0.0002,0.0000,0.1315,0.0062
9.6003,0.9919,0.0077,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0101,0.0557
9.6426,0.9841,0.0151,0.0000,0.0004,0.0001,0.0002,0.0000,0.0000,0.1297,0.1505
9.6849,0.9427,0.0571,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,-0.0064,0.1266
9.7272,0.9990,0.0009,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0325,0.0753
9.7695,0.9912,0.0002,0.0017,0.0000,0.0001,0.0063,0.0005,0.0000,0.0531,-0.1249
9.8117,0.4323,0.5669,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0109,0.1810
9.8540,0.9681,0.0319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0109,0.1991
9.8963,0.9970,0.0027,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0940,0.1136
9.9386,0.9250,0.0745,0.0000,0.0001,0.0000,0.0003,0.0002,0.0000,0.0993,0.1831
9.9809,0.9995,0.0004,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0063,0.0293
10.0232,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0820,-0.0566
10.0655,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0644,-0.0393
10.1078,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0627,0.0264
10.1501,0.9804,0.0192,0.0002,0.0000,0.0000,0.0002,0.0001,0.0000,-0.0215,0.0909
10.1924,0.9990,0.0005,0.0002,0.0000,0.0000,0.0003,0.0001,0.0000,0.0006,-0.0132
10.2347,0.9909,0.0082,0.0006,0.0000,0.0000,0.0002,0.0000,0.0000,-0.0315,0.0353
10.2770,0.9996,0.0002,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0867,0.0598
10.3193,0.9912,0.0076,0.0001,0.0002,0.0004,0.0003,0.0003,0.0000,0.1349,0.0842
